RA,DEC
340.10092,-66.47898
74.85788,-10.98071
120.40511,15.70983
42.12881,50.75453
32.3525,-10.13587
149.87306,-22.82624
246.45941,-60.7526
196.02194,-41.41159
219.42113,2.29098
27.67384,21.75992
39.20672,33.32726
69.15562,-0.1436
186.15082,39.383
178.08578,-26.90589
185.91252,7.05398
8.00903,-64.25338
50.73037,37.03329
227.92064,59.80883
182.64023,30.40153
185.91119,6.95398
82.9547,-67.35941
75.53956,-8.24056
349.94675,42.85263
129.06326,-26.4094
132.01909,74.09887
276.26288,27.53531
191.84074,-41.23751
344.73041,40.93226
193.76199,8.06545
213.03813,-49.38956
226.8662,-36.3274
334.21899,40.50461
5.2952,22.35719
316.36633,-52.55196
330.51331,-31.97369
96.48119,64.74065
141.74681,-12.1089
159.09315,-27.43814
196.2821,-6.49384
114.1563,17.88391
187.74059,12.27046
329.04053,-49.52193
32.53988,39.19037
255.20972,23.01099
53.47366,-31.19412
55.93983,68.30132
152.69226,-34.84468
281.15988,-73.26342
224.75562,-42.58172
296.35095,-55.3469
179.18398,32.02161
71.4473,-2.39284
243.88704,-60.6653
350.52744,40.84543
105.68842,-29.42832
217.13226,27.40903
215.17967,39.69359
161.65352,63.22364
74.48602,-0.12578
232.69221,-2.82951
159.31464,-41.62756
179.37569,-73.68451
286.89023,-68.91281
347.44702,-43.42796
299.05359,40.43397
138.05327,-30.91103
194.89877,27.95938
218.71826,54.47573
295.97501,-70.63338
110.91078,-30.05111
185.93842,-34.62219
167.87694,-18.2895
199.75388,-47.25778
189.03168,-39.43868
210.1909,59.3287
289.66464,-60.54601
53.4154,-5.08953
118.99615,85.15891
186.80566,12.73481
60.25425,74.08385
177.68953,51.82421
285.48593,-53.86309
27.44705,21.97085
91.8744,-61.80758
166.63231,-37.65312
186.28735,-39.7755
125.14869,21.06784
206.60271,46.10739
150.48026,72.1703
112.55038,-62.25264
74.88282,-15.82367
149.26263,-32.25685
44.15184,43.04737
179.33716,25.19538
100.21541,-32.48229
348.30847,-28.35751
