gamma,f,A,delta_chi2
1.41,2.4499999999999997,1.04,29.570000000000086
1.41,2.4499999999999997,1.06,29.970000000000088
1.41,2.4499999999999997,1.08,30.530000000000086
1.41,2.4499999999999997,1.1,31.25000000000009
1.41,2.46,0.9,29.800000000000047
1.41,2.46,0.92,29.080000000000044
1.41,2.46,0.9400000000000001,28.520000000000046
1.41,2.46,0.9600000000000001,28.120000000000047
1.41,2.46,0.9800000000000001,27.880000000000045
1.41,2.46,1.0,27.800000000000047
1.41,2.46,1.02,27.88000000000005
1.41,2.46,1.04,28.120000000000047
1.41,2.46,1.06,28.52000000000005
1.41,2.46,1.08,29.080000000000048
1.41,2.46,1.1,29.80000000000005
1.41,2.4699999999999998,0.9,28.450000000000074
1.41,2.4699999999999998,0.92,27.73000000000007
1.41,2.4699999999999998,0.9400000000000001,27.170000000000073
1.41,2.4699999999999998,0.9600000000000001,26.770000000000074
1.41,2.4699999999999998,0.9800000000000001,26.530000000000072
1.41,2.4699999999999998,1.0,26.450000000000074
1.41,2.4699999999999998,1.02,26.530000000000076
1.41,2.4699999999999998,1.04,26.770000000000074
1.41,2.4699999999999998,1.06,27.170000000000076
1.41,2.4699999999999998,1.08,27.730000000000075
1.41,2.4699999999999998,1.1,28.450000000000077
1.41,2.48,0.9,27.200000000000045
1.41,2.48,0.92,26.480000000000043
1.41,2.48,0.9400000000000001,25.920000000000044
1.41,2.48,0.9600000000000001,25.520000000000046
1.41,2.48,0.9800000000000001,25.280000000000044
1.41,2.48,1.0,25.200000000000045
1.41,2.48,1.02,25.280000000000047
1.41,2.48,1.04,25.520000000000046
1.41,2.48,1.06,25.920000000000048
1.41,2.48,1.08,26.480000000000047
1.41,2.48,1.1,27.20000000000005
1.41,2.4899999999999998,0.9,26.050000000000068
1.41,2.4899999999999998,0.92,25.330000000000066
1.41,2.4899999999999998,0.9400000000000001,24.770000000000067
1.41,2.4899999999999998,0.9600000000000001,24.37000000000007
1.41,2.4899999999999998,0.9800000000000001,24.130000000000067
1.41,2.4899999999999998,1.0,24.050000000000068
1.41,2.4899999999999998,1.02,24.13000000000007
1.41,2.4899999999999998,1.04,24.37000000000007
1.41,2.4899999999999998,1.06,24.77000000000007
1.41,2.4899999999999998,1.08,25.33000000000007
1.41,2.4899999999999998,1.1,26.05000000000007
1.41,2.5,0.9,25.000000000000043
1.41,2.5,0.92,24.28000000000004
