omega0,Q,alpha,kind,A,dA_over_A
0.5166666666666667,0.43333333333333335,0.09333333333333334,boost,0.011229674410667892,0.05553770563372385
0.5166666666666667,0.43333333333333335,0.12,boost,0.01139849029297089,0.07140562152907352
0.5166666666666667,0.43333333333333335,0.14666666666666667,boost,0.011567306175273887,0.08727353742442319
0.5166666666666667,0.43333333333333335,0.17333333333333334,boost,0.011736122057576884,0.10314145331977287
0.5166666666666667,0.43333333333333335,0.2,boost,0.011904937939879883,0.1190093692151227
0.5166666666666667,0.4666666666666667,0.04,boost,0.010882503402421802,0.022905228848955756
0.5166666666666667,0.4666666666666667,0.06666666666666667,boost,0.011044959788964739,0.03817538141492653
0.5166666666666667,0.4666666666666667,0.09333333333333334,boost,0.011207416175507677,0.05344553398089747
0.5166666666666667,0.4666666666666667,0.12,boost,0.011369872562050612,0.06871568654686809
0.5166666666666667,0.4666666666666667,0.14666666666666667,boost,0.011532328948593549,0.08398583911283886
0.5166666666666667,0.4666666666666667,0.17333333333333334,boost,0.01169478533513648,0.09925599167880915
0.5166666666666667,0.4666666666666667,0.2,boost,0.011857241721679417,0.11452614424477993
0.5166666666666667,0.5,0.04,boost,0.010873633514070474,0.02207150017106158
0.5166666666666667,0.5,0.06666666666666667,boost,0.01103017664171252,0.0367858336184358
0.5166666666666667,0.5,0.09333333333333334,boost,0.011186719769354569,0.05150016706581019
0.5166666666666667,0.5,0.12,boost,0.011343262896996616,0.06621450051318441
0.5166666666666667,0.5,0.14666666666666667,boost,0.011499806024638666,0.08092883396055896
0.5166666666666667,0.5,0.17333333333333334,boost,0.011656349152280714,0.09564316740793334
0.5166666666666667,0.5,0.2,boost,0.01181289227992276,0.11035750085530757
0.55,0.3,0.04,boost,0.010950542607224594,0.029300600923363954
0.55,0.3,0.06666666666666667,boost,0.011158358463636057,0.048834334872273365
0.55,0.3,0.09333333333333334,boost,0.01136617432004752,0.06836806882118278
0.55,0.3,0.12,boost,0.01157399017645898,0.08790180277009203
0.55,0.3,0.14666666666666667,boost,0.011781806032870443,0.10743553671900144
0.55,0.3,0.17333333333333334,boost,0.011989621889281906,0.12696927066791086
0.55,0.3,0.2,boost,0.012197437745693368,0.14650300461682025
0.55,0.3333333333333333,0.04,boost,0.010938088328994908,0.02812995609546061
0.55,0.3333333333333333,0.06666666666666667,boost,0.011137601333253243,0.0468832601591008
0.55,0.3333333333333333,0.09333333333333334,boost,0.011337114337511582,0.06563656422274132
0.55,0.3333333333333333,0.12,boost,0.01153662734176992,0.08438986828638183
0.55,0.3333333333333333,0.14666666666666667,boost,0.011736140346028257,0.10314317235002218
0.55,0.3333333333333333,0.17333333333333334,boost,0.011935653350286594,0.12189647641366254
0.55,0.3333333333333333,0.2,boost,0.012135166354544933,0.14064978047730306
0.55,0.36666666666666664,0.04,boost,0.010926461184800047,0.027037058059622882
0.55,0.36666666666666664,0.06666666666666667,boost,0.011118222759595144,0.045061763432704856
