tau,omega,sigma_ratio_1e9,sigma_ratio_1e10,sigma_ratio_1e11,score
0.07739130434782608,0.14782608695652175,0.6008944992010639,0.7344349519451988,0.872803173837927,3.3982799948510367
0.06521739130434782,0.1826086956521739,0.5999067116778469,0.7336264869447239,0.8727336067904448,3.4037177700994574
0.08347826086956522,0.12695652173913044,0.6010770269318412,0.7345443572117096,0.8727106450826333,3.4078382461753938
0.07434782608695652,0.1582608695652174,0.6003359017066999,0.7338902574735467,0.8725091046613127,3.426894063476258
0.06826086956521739,0.1756521739130435,0.5997605922696978,0.7334001038558722,0.8724124311739964,3.4356913319821762
0.07130434782608695,0.16869565217391305,0.5994585268201617,0.7330101509423058,0.8719831798285869,3.478256059706798
0.08043478260869565,0.1408695652173913,0.5999987923649873,0.7334266441074276,0.8719567550986925,3.4817435558215903
0.08347826086956522,0.13043478260869565,0.6000346802395368,0.7334244980073688,0.8718725846345298,3.4902370730744554
0.07739130434782608,0.15130434782608695,0.5996576319830476,0.7331082295451428,0.871816710483809,3.495253989041841
0.059130434782608696,0.2,0.5980207516337934,0.7317335174550422,0.871684454043898,3.505946582440571
0.06217391304347826,0.19304347826086957,0.5982541584638618,0.7319202046102669,0.871642701905828,3.5105067601553324
